"yy","gear","flag","eez","alb_mt","bet_mt","skj_mt","yft_mt"
1990,"L","AU","AU",268.534819,29.397122,63,789.720129
1990,"L","AU","I7",0.419575,0.253968,0,0.247323
1990,"L","AU","NF",0.045606,0.34891,0,0.03254
1990,"L","CN","FM",0,0.66,0,0.9
1990,"L","CN","I1",0.443,48.183,0,30.686
1990,"L","CN","I4",0,34.943501,0,27.768
1990,"L","CN","I5",0,34.943501,0,27.768
1990,"L","CN","I7",0.385,0,0,0
1990,"L","CN","PG",0,1.246,0,0.965
1990,"L","CN","PW",3.172,156.024,0,84.913
1990,"L","FJ","FJ",68,27,0,23
1990,"L","ID","ID",0,2342,0,10417
1990,"L","JP","AU",1621.170987,779.047112,8.145,2748.8659
1990,"L","JP","CN",0.392994,0.841,0.009,1.502982
1990,"L","JP","FM",9.217013,8067.206831,0,6771.066138
1990,"L","JP","GL",0.269939,73.474086,0,119.672003
1990,"L","JP","I1",1.909629,3719.786962,3.771,3710.560109
1990,"L","JP","I2",4.091985,1317.316843,0,1608.544935
1990,"L","JP","I3",477.121636,1498.614345,6.842,1657.083067
1990,"L","JP","I4",80.788179,5372.760521,0,3120.248247
1990,"L","JP","I5",354.128815,10851.7297,0,3144.460883
1990,"L","JP","I6",7919.876894,9484.623678,4.31,1609.450029
1990,"L","JP","I7",1265.723413,462.583215,0,533.71893
1990,"L","JP","ID",0,0.883939,0,5.154031
1990,"L","JP","IW",0,0.113976,0,0.08502
1990,"L","JP","JP",6071.804508,4232.364161,42.043,5890.600163
1990,"L","JP","LN",0.050044,76.044136,0,83.080081
1990,"L","JP","MH",13.56601,1847.392914,0.001,1073.339127
1990,"L","JP","NC",428.280059,25.249926,0.02,453.304936
1990,"L","JP","NF",61.756958,59.516114,0.102,106.153068
1990,"L","JP","NZ",416.979952,331.876022,0.005,27.759936
1990,"L","JP","PF",39.658042,452.096016,0,129.512119
1990,"L","JP","PG",0.386026,0.394968,0.014,1.842984
1990,"L","JP","PW",6.708056,778.381791,0,768.723064
1990,"L","JP","SB",64.977002,655.436821,0,3014.106115
1990,"L","JP","WK",0.096002,0.040978,0,0.075972
1990,"L","KR","CK",97.94,35.049,1.451,94.738
1990,"L","KR","FM",0,7.15,0,1.17
1990,"L","KR","GL",4.08,534.69,0.15,470.073
1990,"L","KR","H4",10.837,49.391,0.027,41.304
1990,"L","KR","H5",9.337,78.687,0.497,109.009
1990,"L","KR","I1",0,3.19,0,0.69
1990,"L","KR","I2",96.87,73.767,0.481,239.81
1990,"L","KR","I4",0,7180.4545,2.0145,4599.319435
1990,"L","KR","I5",0,7180.4545,2.0145,4599.319435
1990,"L","KR","I6",4.257,2.033,0,0.336
1990,"L","KR","I7",135.464,9.099,0.858,19.569
1990,"L","KR","I8",37.776,6.192,0.04,56.95
1990,"L","KR","I9",1.614,0.23,0.046,0.9
1990,"L","KR","LN",76.471,1264.549,0,993.751
1990,"L","KR","PF",306.393,494.491,0.412,467.363
1990,"L","KR","PG",380.022,39.81,1.128,288.752
1990,"L","KR","PX",32.944,319.457,0,451.857
1990,"L","KR","SB",210.638,25.788,1.88,123.524
1990,"L","KR","TV",248.985,101.518,1.001,408.565
1990,"L","NC","I7",9.658548,0.289855,0,0.80843
1990,"L","NC","MA",10.425921,0.283816,0,5.052675
1990,"L","NC","NC",1032.915531,59.426329,0,611.138895
1990,"L","NZ","I7",1.51486,0,0,0
1990,"L","NZ","NZ",168.48514,30,0,4
1990,"L","PF","PF",20,4,0,6
1990,"L","PH","PH",0,59,0,484
1990,"L","TO","I7",64.331846,1.516485,0.79538,3.74206
1990,"L","TO","TO",87.668154,9.483515,1.20462,23.25794
1990,"L","TW","CK",224.211,23.331,1.622,32.543
1990,"L","TW","FJ",6.665,0.245,0,0.494
1990,"L","TW","FM",5.801,120.03,0,124.401
1990,"L","TW","H5",6.745,1.033,0,6.442
1990,"L","TW","I1",1.617,2127.722825,141.4,9594.5493
1990,"L","TW","I2",336.968,0.42,0,0.03
1990,"L","TW","I3",0,911.881211,60.6,4111.9497
1990,"L","TW","I4",0,785.39,0,852.2585
1990,"L","TW","I5",0,785.39,0,852.2585
1990,"L","TW","I7",9419.5261,0,0,0
1990,"L","TW","I8",11.02,0.205,0.014,1.63
1990,"L","TW","I9",4.631,0.083,0,0.577
1990,"L","TW","ID",0,15.179,0,24.082
1990,"L","TW","LN",0.3,45.893,0,76.212
1990,"L","TW","MH",0,1.361,0,1.045
1990,"L","TW","PG",0.12,8.39,0,14.685
1990,"L","TW","PH",1.219,4.425,0,3.675
1990,"L","TW","PW",2.275,303.506,0,324.448
1990,"L","TW","SB",82.228,8.737,0.007,8.335
1990,"L","TW","VU",246.674,12.778,1.514,80.385
1990,"L","US","HW",75.836388,1064.792802,0,689.984297
1990,"L","US","I5",0,6.840988,0,3.481697
1990,"L","US","I6",106.163612,448.36621,0,409.534017
1990,"P","AU","AU",0,0,1177,22
1990,"P","FJ","FJ",0,0,3196,478
1990,"P","ID","ID",0,2510,57518,11656
1990,"P","JP","FM",0,35.400003,10767.300345,95.399993
1990,"P","JP","GL",0,44.200005,347.620206,59.740009
1990,"P","JP","H4",0,2.136637,47.937275,11.480566
1990,"P","JP","H5",0,0,3.551816,0
1990,"P","JP","I1",0,0,13.612438,0
1990,"P","JP","I2",0,4.273273,842.752147,30.816182
1990,"P","JP","I3",0.120951,36.109173,12983.110815,88.218872
1990,"P","JP","I4",0,4.807432,838.0168,15.347661
1990,"P","JP","I5",0,0,66.402556,6.525802
1990,"P","JP","I6",7305.277196,1260.296041,44251.920561,1180.078572
1990,"P","JP","I7",0,0,114.813487,0
1990,"P","JP","JP",1226.601853,2073.277426,49718.764604,5618.092366
1990,"P","JP","MH",0,7.500013,2787.099609,28.300012
1990,"P","JP","NC",0,0,275.199636,0.299989
1990,"P","JP","PX",0,0.500016,243.999467,0.500028
1990,"P","JP","SB",0,6.500013,6446.899462,46.200018
1990,"P","KI","GL",0,0,452,143
1990,"P","NZ","NZ",242,0,0,0
1990,"P","PF","PF",3,0,1423,138
1990,"P","PW","PW",0,0,80,8
1990,"P","SB","SB",0,0,17427,1100
1990,"P","TV","SB",0,0,64,26
1990,"P","US","HW",0,0,487,17
1990,"S","AU","AU",0,0,121,0
1990,"S","AU","FM",0,1.838317,872.026526,174.823918
1990,"S","AU","I1",0,0.3433,272.383557,32.64784
1990,"S","AU","I2",0,0.454042,236.464846,43.179404
1990,"S","AU","PG",0,7.364341,2154.125035,700.348838
1990,"S","ID","ID",0,974,24210,7273
1990,"S","JP","FM",0,766.999949,80073.999548,16354.000098
1990,"S","JP","H5",0,0,0,0
1990,"S","JP","I1",1740.12526,5411.621061,15708.619156,16946.616689
1990,"S","JP","I2",99.87474,4501.804283,8230.633071,9541.915908
1990,"S","JP","I3",0,0,0,0
1990,"S","JP","I4",0,1.151656,1.784947,1.932039
1990,"S","JP","I5",0,55.922948,250.056511,131.628214
1990,"S","JP","I6",0,151.700048,5291.800453,1183.502006
1990,"S","JP","ID",0,0,20.000132,75.000042
1990,"S","JP","JP",155,444.799982,10648.104278,5888.404924
1990,"S","JP","MP",0,0,0,0
1990,"S","JP","PW",0,5.999961,760.999545,1113.000079
1990,"S","KR","FM",0,140.561,1478.562,636.378
1990,"S","KR","I1",0,191.528,2094.636,1077.865
1990,"S","KR","I2",0,16.479,191.929,89.502
1990,"S","KR","ID",0,4.347,56.653,26.652
1990,"S","KR","NR",0,0,0,0
1990,"S","KR","PG",0,10052.398,107326.865,45814.311
1990,"S","KR","SB",0,88.439,3267.792,396.104
1990,"S","NZ","I7",0,0,75.377,0
1990,"S","NZ","NZ",0,0,3883.623,0
1990,"S","PH","FM",0,27.145,216.026,173.442
1990,"S","PH","I2",0,66.859,483.328,429.002
1990,"S","PH","PG",0,2057.842,11063.337,9485.018
1990,"S","PH","PH",0,2864,45894,21121
1990,"S","SB","I2",0,7.009,133.542,194.016
1990,"S","SB","PG",0,2.446,26.727,37.534
1990,"S","SB","SB",0,306.006,3606.765,3771.956
1990,"S","SU","GL",0,5,1505,616
1990,"S","TW","FM",0,1164.893,6766.583,4432.58
1990,"S","TW","I1",0,1074.319,8442.591,5265.385
1990,"S","TW","I2",0,40.599,257.42,163.418
1990,"S","TW","I3",0,0,0,0
1990,"S","TW","ID",0,176.474,1242.503,701.37
1990,"S","TW","PG",0,9078.47,54902.492,34215.615
1990,"S","TW","PH",0,0,0,0
1990,"S","TW","PW",0,3.895,55.259,17.109
1990,"S","US","AS",0,0,0,0
1990,"S","US","AU",0,0,0,0
1990,"S","US","FJ",0,0,0,0
1990,"S","US","FM",0,324.477,2805.088,1924.999
1990,"S","US","GL",0,1771.549,33463.292,17475.708
1990,"S","US","GU",0,0,0,0
1990,"S","US","H4",0,14.714,1843.498,561.915
1990,"S","US","H5",0,0,0,0
1990,"S","US","HB",0,173.626,13531.322,5028.996
1990,"S","US","I1",0,67.628,476.841,439.898
1990,"S","US","I2",0,1125.316,7538.167,4155.809
1990,"S","US","I4",0,113.48,12505.687,2349.834
1990,"S","US","I5",0,21.323,1784.184,1022.908
1990,"S","US","I7",0,0,22.474,0
1990,"S","US","I8",0,0,0,0
1990,"S","US","ID",0,0,0,0
