yy,gear,flag,lond,latd,alb_mt,alb_no,bet_mt,bet_no,skj_mt,skj_no,yft_mt,yft_no
1950,L,JP,132.50,2.50,0.340,26,0.062,2,0,0,0.938,37
1950,L,JP,137.50,2.50,1.987,152,18.164,585,0.723,162,142.194,5607
1950,L,JP,142.50,2.50,0,0,17.356,559,0.093,21,150.157,5921
1950,L,JP,142.50,7.50,0,0,4.658,150,0,0,15.242,601
1950,L,JP,147.50,2.50,0.052,4,44.278,1426,0,0,222.636,8779
1950,L,JP,147.50,7.50,0,0,9.626,310,0,0,41.007,1617
1950,L,JP,152.50,2.50,0.131,10,51.822,1669,0,0,261.056,10294
1950,L,JP,152.50,7.50,0.772,59,15.805,509,0.308,69,66.393,2618
1950,L,JP,157.50,2.50,12.129,928,113.551,3657,0.821,184,739.167,29147
1950,L,JP,157.50,7.50,1.765,135,25.088,808,0.276,62,71.135,2805
1950,L,JP,162.50,2.50,1.869,143,45.705,1472,0.388,87,249.492,9838
1950,L,JP,162.50,7.50,0.170,13,11.986,386,0.018,4,34.109,1345
1950,L,JP,162.50,12.50,0,0,0.434,14,0,0,0.381,15
1950,L,JP,167.50,2.50,2.849,218,56.945,1834,0,0,454.731,17931
1950,L,JP,167.50,7.50,0.588,45,10.868,350,0,0,24.929,983
1950,L,JP,177.50,7.50,0,0,0.062,2,0.018,4,0.178,7
1950,P,JP,117.50,22.50,0,0,0.170,0,10.898,0,0,0
1950,P,JP,122.50,22.50,0,0,0.510,0,158.862,0,25.149,0
1950,P,JP,122.50,27.50,0,0,0,0,0.401,0,0,0
1950,P,JP,127.50,22.50,0,0,0,0,118.945,0,9.166,0
1950,P,JP,127.50,27.50,0,0,0,0,113.519,0,15.749,0
1950,P,JP,127.50,32.50,0,0,0,0,55.863,0,2.351,0
1950,P,JP,132.50,22.50,0,0,0.374,0,71.766,0,3.761,0
1950,P,JP,132.50,27.50,0,0,2.954,0,124.844,0,1.411,0
1950,P,JP,132.50,32.50,0,0,0.510,0,63.108,0,3.526,0
1950,P,JP,137.50,22.50,0,0,0.102,0,125.577,0,10.226,0
1950,P,JP,137.50,27.50,0,0,3.568,0,211.327,0,6.699,0
1950,P,JP,137.50,32.50,0,0,21.361,0,231.685,0,33.495,0
1950,P,JP,137.50,37.50,0,0,0,0,1.651,0,0,0
1950,P,JP,142.50,22.50,0,0,2.921,0,786.402,0,37.140,0
1950,P,JP,142.50,27.50,0,0,58.028,0,372.833,0,41.720,0
1950,P,JP,142.50,32.50,0,0,37.389,0,755.352,0,21.979,0
1950,P,JP,142.50,37.50,0,0,2.751,0,107.082,0,1.175,0
1950,P,JP,142.50,42.50,0,0,0,0,2.147,0,0,0
1950,P,JP,147.50,22.50,0,0,0.883,0,998.507,0,32.554,0
1950,P,JP,147.50,27.50,0,0,16.434,0,89.647,0,6.934,0
1950,P,JP,147.50,32.50,0,0,78.844,0,1167.109,0,112.467,0
1950,P,JP,147.50,37.50,0,0,37.997,0,3155.718,0,5.291,0
1950,P,JP,147.50,42.50,0,0,0,0,663.091,0,0,0
1950,P,JP,152.50,22.50,0,0,3.634,0,720.633,0,14.691,0
1950,P,JP,152.50,27.50,0,0,8.489,0,28.241,0,7.639,0
1950,P,JP,152.50,32.50,0,0,140.607,0,1754.547,0,102.007,0
1950,P,JP,152.50,37.50,0,0,21.597,0,5881.654,0,143.607,0
1950,P,JP,152.50,42.50,0,0,1.596,0,5379.239,0,1.293,0
1950,P,JP,152.50,47.50,0,0,0,0,1.699,0,0,0
1950,P,JP,157.50,22.50,0,0,0,0,549.149,0,8.228,0
1950,P,JP,157.50,27.50,0,0,31.712,0,39.280,0,3.996,0
1950,P,JP,157.50,32.50,0,0,118.332,0,2062.543,0,64.520,0
1950,P,JP,157.50,37.50,0,0,9.916,0,3654.168,0,57.115,0
1950,P,JP,157.50,42.50,0,0,0.272,0,2727.613,0,0,0
1950,P,JP,157.50,47.50,0,0,0,0,0.708,0,0,0
1950,P,JP,162.50,22.50,0,0,0,0,65.629,0,10.929,0
1950,P,JP,162.50,27.50,0,0,4.788,0,34.537,0,1.410,0
1950,P,JP,162.50,32.50,0,0,40.270,0,301.562,0,12.809,0
1950,P,JP,162.50,37.50,0,0,0.034,0,576.110,0,0,0
1950,P,JP,162.50,42.50,0,0,0,0,222.414,0,0,0
