yy,gear,flag,lond,latd,alb_mt,bet_mt,skj_mt,yft_mt
1950,L,JP,132.50,2.50,0.340,0.062,0,0.938
1950,L,JP,137.50,2.50,1.987,18.164,0.723,142.194
1950,L,JP,142.50,2.50,0,17.356,0.093,150.157
1950,L,JP,142.50,7.50,0,4.658,0,15.242
1950,L,JP,147.50,2.50,0.052,44.278,0,222.636
1950,L,JP,147.50,7.50,0,9.626,0,41.007
1950,L,JP,152.50,2.50,0.131,51.822,0,261.056
1950,L,JP,152.50,7.50,0.772,15.805,0.308,66.393
1950,L,JP,157.50,2.50,12.129,113.551,0.821,739.167
1950,L,JP,157.50,7.50,1.765,25.088,0.276,71.135
1950,L,JP,162.50,2.50,1.869,45.705,0.388,249.492
1950,L,JP,162.50,7.50,0.170,11.986,0.018,34.109
1950,L,JP,162.50,12.50,0,0.434,0,0.381
1950,L,JP,167.50,2.50,2.849,56.945,0,454.731
1950,L,JP,167.50,7.50,0.588,10.868,0,24.929
1950,L,JP,177.50,7.50,0,0.062,0.018,0.178
1950,P,JP,117.50,22.50,0,0.170,10.898,0
1950,P,JP,122.50,22.50,0,0.510,158.862,25.149
1950,P,JP,122.50,27.50,0,0,0.401,0
1950,P,JP,127.50,22.50,0,0,118.945,9.166
1950,P,JP,127.50,27.50,0,0,113.519,15.749
1950,P,JP,127.50,32.50,0,0,55.863,2.351
1950,P,JP,132.50,22.50,0,0.374,71.766,3.761
1950,P,JP,132.50,27.50,0,2.954,124.844,1.411
1950,P,JP,132.50,32.50,0,0.510,63.108,3.526
1950,P,JP,137.50,22.50,0,0.102,125.577,10.226
1950,P,JP,137.50,27.50,0,3.568,211.327,6.699
1950,P,JP,137.50,32.50,0,21.361,231.685,33.495
1950,P,JP,137.50,37.50,0,0,1.651,0
1950,P,JP,142.50,22.50,0,2.921,786.402,37.140
1950,P,JP,142.50,27.50,0,58.028,372.833,41.720
1950,P,JP,142.50,32.50,0,37.389,755.352,21.979
1950,P,JP,142.50,37.50,0,2.751,107.082,1.175
1950,P,JP,142.50,42.50,0,0,2.147,0
1950,P,JP,147.50,22.50,0,0.883,998.507,32.554
1950,P,JP,147.50,27.50,0,16.434,89.647,6.934
1950,P,JP,147.50,32.50,0,78.844,1167.109,112.467
1950,P,JP,147.50,37.50,0,37.997,3155.718,5.291
1950,P,JP,147.50,42.50,0,0,663.091,0
1950,P,JP,152.50,22.50,0,3.634,720.633,14.691
1950,P,JP,152.50,27.50,0,8.489,28.241,7.639
1950,P,JP,152.50,32.50,0,140.607,1754.547,102.007
1950,P,JP,152.50,37.50,0,21.597,5881.654,143.607
